text,romanization,description,language,wordtype,example,en-us,it
영,yeong,,ko-KR,Noun,,Zero,Zero
일,il,,ko-KR,Noun,,One,Uno
이,il,,ko-KR,Noun,,Two,Due
삼,sam,,ko-KR,Noun,,Three,Tre
사,sam,,ko-KR,Noun,,Four,Quattro
오,o,,ko-KR,Noun,,Five,Cinque
육,yuk,,ko-KR,Noun,,Six,Sei
칠,chil,,ko-KR,Noun,,Seven,Sette
팔,pal,,ko-KR,Noun,,Eight,Otto
구,gu,,ko-KR,Noun,,Nine,Nove
십,sip,,ko-KR,Noun,,Ten,Dieci
